City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ust-nera,64.5667,143.2,-31.13,97,56,1.67,RU,1699661104
83,bac lieu,9.285,105.7244,26.33,88,100,5.21,VN,1699661239
84,ekpoma,6.7421,6.139,22.1,98,80,1.88,NG,1699661241
85,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,98,75,1.79,RU,1699661121
86,atamyrat,37.8357,65.2106,13.7,23,100,3.93,TM,1699661242
87,bethel,41.3712,-73.414,9.25,69,67,0.45,US,1699661116
88,wailua homesteads,22.0669,-159.378,28.24,79,75,6.17,US,1699661244
89,dudinka,69.4058,86.1778,-6.29,95,100,8.49,RU,1699661175
90,mil'kovo,55.6078,37.7956,4.27,85,95,4.15,RU,1699661137
91,tuburan,6.6439,122.2736,31.05,71,57,1.34,PH,1699661245
92,sayalkudi,9.1833,78.45,25.47,87,100,5.84,IN,1699661246
93,vorgashor,67.5833,63.95,-15.94,100,82,1.83,RU,1699661153
94,suntar,62.1444,117.6319,-12.26,92,43,2.8,RU,1699661249
95,peace river,56.2501,-117.286,7.17,52,20,5.14,CA,1699661124
96,san ignacio de velasco,-16.3667,-60.95,29.8,41,61,2.53,BO,1699661250
97,guerrero negro,27.9769,-114.0611,22.2,42,0,5.97,MX,1699661194
98,celestun,20.8667,-90.4,26.76,77,84,6.77,MX,1699661251
99,whangarei,-35.7317,174.3239,20.82,40,5,0.57,NZ,1699661251
100,las tablas,7.7667,-80.2833,26.64,84,100,0.23,PA,1699661252
101,kailua-kona,19.6406,-155.9956,29.17,70,40,4.63,US,1699661232
102,eskilstuna,59.3666,16.5077,5.88,96,97,1.81,SE,1699661254
103,kabompo,-13.5927,24.2008,17.74,86,90,0.57,ZM,1699661254
104,broome,42.2506,-75.833,7.61,71,94,0.45,US,1699661255
105,zhangjiakou,40.81,114.8794,-6.5,37,60,3.71,CN,1699661255
106,vadso,70.0744,29.7487,-1.91,86,40,7.72,NO,1699661221
107,geraldton,-28.7667,114.6,22.23,33,100,8.23,AU,1699661256
108,ambodifotatra,-16.9833,49.85,25.31,81,83,1.84,MG,1699661162
109,castillos,-34.1667,-53.8333,14.97,94,100,8.97,UY,1699661257
110,puerto ayora,-0.7393,-90.3518,24.19,94,55,3.58,EC,1699661122
111,zuni pueblo,35.0725,-108.8506,8.35,39,44,3.56,US,1699661258
112,ostersund,63.1792,14.6357,-2.75,100,75,4.63,SE,1699661258
113,souillac,-20.5167,57.5167,23.75,83,20,1.92,MU,1699661259
114,lagunillas,10.1301,-71.2595,28.43,82,84,1.68,VE,1699661259
115,san patricio,28.017,-97.5169,16.58,90,100,4.31,US,1699661151
116,eydhafushi,5.1033,73.0708,27.47,78,58,1.67,MV,1699661260
117,kirensk,57.7853,108.1119,-10.58,70,87,1.79,RU,1699661146
118,pariaman,-0.619,100.12,25.03,91,99,1.17,ID,1699661261
119,san antonio de pale,-1.4014,5.6325,25.99,85,99,5.3,GQ,1699660974
120,kirakira,-10.4544,161.9205,27.57,83,100,5.52,SB,1699661262
121,vilyuchinsk,52.9306,158.4028,1.15,98,100,1.31,RU,1699661263
